10
0	8	17	1	41	12	7	16	90	47
8	0	47	31	17	87	59	14	5	9
17	47	0	53	36	29	47	14	18	84
1	31	53	0	53	83	72	6	79	36
41	17	36	53	0	64	39	52	16	31
12	87	29	83	64	0	63	75	47	5
7	59	47	72	39	63	0	21	45	87
16	14	14	6	52	75	21	0	89	31
90	5	18	79	16	47	45	89	0	45
47	9	84	36	31	5	87	31	45	0
0	34	97	50	93	100	89	24	89	3
0	0	79	65	78	81	82	66	98	72
0	0	0	11	36	87	23	78	97	81
0	0	0	0	23	88	40	91	83	84
0	0	0	0	0	80	16	47	96	9
0	0	0	0	0	0	46	84	100	0
0	0	0	0	0	0	0	53	78	66
0	0	0	0	0	0	0	0	98	58
0	0	0	0	0	0	0	0	0	13
0	0	0	0	0	0	0	0	0	0
