30
0	49	55	64	7	75	24	56	99	57	4	81	85	20	69	72	74	92	40	26	83	26	39	6	83	58	20	46	33	13
49	0	67	21	92	74	34	76	24	32	27	3	97	86	39	25	2	49	15	13	12	60	79	59	72	67	25	21	84	76
55	67	0	5	47	63	6	9	97	6	72	11	45	25	23	93	21	10	15	16	94	60	19	46	7	91	2	17	20	48
64	21	5	0	52	97	56	1	88	53	12	9	74	87	45	72	1	82	16	67	65	29	81	81	38	18	65	55	89	19
7	92	47	52	0	4	13	62	93	87	85	69	27	38	28	22	93	19	50	25	4	13	93	49	58	48	32	80	25	44
75	74	63	97	4	0	1	48	84	26	67	91	10	68	97	97	82	67	45	94	80	69	45	53	27	90	25	6	66	30
24	34	6	56	13	1	0	37	67	3	95	62	21	17	20	76	87	19	12	78	100	17	49	94	93	26	80	92	67	41
56	76	9	1	62	48	37	0	96	81	58	74	29	67	40	51	39	11	49	72	64	20	96	98	70	82	87	89	97	62
99	24	97	88	93	84	67	96	0	73	25	3	77	44	41	30	72	37	5	19	48	51	78	74	24	32	98	24	52	10
57	32	6	53	87	26	3	81	73	0	17	76	89	34	22	68	52	34	74	70	19	99	4	31	23	19	19	94	17	98
4	27	72	12	85	67	95	58	25	17	0	48	59	46	83	21	35	49	77	50	28	64	19	11	62	5	77	23	33	31
81	3	11	9	69	91	62	74	3	76	48	0	83	57	17	79	2	55	17	3	67	53	29	51	99	1	23	32	33	40
85	97	45	74	27	10	21	29	77	89	59	83	0	89	87	97	73	94	91	84	18	43	74	45	84	70	29	4	24	40
20	86	25	87	38	68	17	67	44	34	46	57	89	0	64	99	59	19	62	26	52	36	63	10	22	34	34	91	71	48
69	39	23	45	28	97	20	40	41	22	83	17	87	64	0	97	84	24	49	33	26	41	85	68	39	47	74	87	11	52
72	25	93	72	22	97	76	51	30	68	21	79	97	99	97	0	92	99	33	71	33	55	56	11	41	88	68	81	54	47
74	2	21	1	93	82	87	39	72	52	35	2	73	59	84	92	0	41	75	5	43	23	36	44	11	76	91	98	48	99
92	49	10	82	19	67	19	11	37	34	49	55	94	19	24	99	41	0	65	36	62	95	57	50	20	33	44	85	13	82
40	15	15	16	50	45	12	49	5	74	77	17	91	62	49	33	75	65	0	74	30	95	40	30	79	22	34	6	75	50
26	13	16	67	25	94	78	72	19	70	50	3	84	26	33	71	5	36	74	0	63	76	100	47	69	87	95	43	70	51
83	12	94	65	4	80	100	64	48	19	28	67	18	52	26	33	43	62	30	63	0	10	37	77	88	42	83	39	14	18
26	60	60	29	13	69	17	20	51	99	64	53	43	36	41	55	23	95	95	76	10	0	17	69	72	69	16	96	42	74
39	79	19	81	93	45	49	96	78	4	19	29	74	63	85	56	36	57	40	100	37	17	0	87	10	12	12	25	99	40
6	59	46	81	49	53	94	98	74	31	11	51	45	10	68	11	44	50	30	47	77	69	87	0	88	15	24	33	93	49
83	72	7	38	58	27	93	70	24	23	62	99	84	22	39	41	11	20	79	69	88	72	10	88	0	22	71	24	28	98
58	67	91	18	48	90	26	82	32	19	5	1	70	34	47	88	76	33	22	87	42	69	12	15	22	0	25	15	77	41
20	25	2	65	32	25	80	87	98	19	77	23	29	34	74	68	91	44	34	95	83	16	12	24	71	25	0	2	24	47
46	21	17	55	80	6	92	89	24	94	23	32	4	91	87	81	98	85	6	43	39	96	25	33	24	15	2	0	77	60
33	84	20	89	25	66	67	97	52	17	33	33	24	71	11	54	48	13	75	70	14	42	99	93	28	77	24	77	0	21
13	76	48	19	44	30	41	62	10	98	31	40	40	48	52	47	99	82	50	51	18	74	40	49	98	41	47	60	21	0
0	32	53	0	0	0	69	91	26	56	17	37	42	0	30	45	0	47	75	59	53	0	0	0	0	57	92	56	4	78
0	0	44	0	0	0	36	73	78	97	30	4	9	0	64	0	0	25	30	58	12	0	0	0	0	64	37	71	95	47
0	0	0	0	0	0	97	84	89	90	72	54	42	0	84	68	0	48	18	4	79	0	0	0	0	85	49	63	28	70
0	0	0	0	91	73	32	87	98	85	80	75	1	92	95	88	21	40	48	56	48	31	80	40	49	37	40	97	83	81
0	0	0	0	0	34	76	51	79	48	23	14	2	89	46	14	57	36	27	26	92	67	57	38	35	57	5	19	74	15
0	0	0	0	0	0	80	91	77	57	13	93	9	0	35	37	61	96	38	74	16	0	0	0	66	48	17	71	68	29
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	41	0	0	0	15	0	0	0	85	49	76	0	0	0	0	0	55	72	0	0
0	0	0	0	0	0	0	0	0	0	58	24	12	0	77	0	0	85	4	11	77	0	0	0	0	47	3	95	94	0
0	0	0	0	0	0	0	0	0	0	5	28	95	0	25	0	0	17	36	93	28	0	0	0	0	1	5	23	96	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	89	97	0	0	0	0	0	0	3	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	26	24	78	89	0	0	0	0	0	75	75	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	1	64	77	49	0	0	0	0	0	29	24	93	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	50	39	50	43	36	96	21	39	0	26	84	51	32	74	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	26	67	0	0	0	0	0	26	71	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	85	85	47	0	0	0	0	8	34	43	48	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	24	33	10	0	0	0	0	51	46	28	41	60
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	100	95	0	0	0	0	0	11	92	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	73	0	0	0	0	0	0	58	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	89	47	78	84	77	81
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	43	47	39	36
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	55	95	7	92	30
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	92	11	40	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	45	88	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
