75
0	73	17	89	20	42	10	34	82	49	33	18	35	6	78	96	67	87	36	59	40	78	6	88	57	59	26	69	24	67	32	76	39	48	65	10	41	26	43	23	74	27	92	60	32	69	8	51	55	95	9	94	72	66	82	28	25	59	48	100	25	79	28	15	78	44	25	18	69	19	92	94	46	83	53
73	0	29	51	60	31	6	6	91	51	77	57	84	56	33	43	3	32	19	33	59	86	62	2	10	32	22	28	23	15	25	58	20	6	60	31	36	17	37	27	68	13	35	51	21	67	45	23	98	16	8	9	1	21	62	10	52	84	89	27	98	66	84	69	71	95	100	6	12	36	84	79	100	18	81
17	29	0	20	84	78	95	34	93	54	42	45	74	3	6	26	38	46	4	36	11	39	4	81	33	55	87	44	90	22	74	42	40	7	61	75	84	7	8	28	60	1	24	86	4	29	63	41	74	66	28	85	56	84	17	88	38	55	84	80	77	57	21	16	63	33	90	98	92	50	77	3	50	100	88
89	51	20	0	53	28	50	46	54	15	25	90	70	8	6	10	98	61	93	77	37	1	49	4	16	33	93	65	76	94	42	79	44	41	66	48	69	16	93	74	82	70	63	4	29	68	13	26	28	57	54	64	9	54	19	24	39	12	41	14	5	82	92	100	22	58	48	42	25	92	15	6	61	77	61
20	60	84	53	0	90	97	73	67	24	81	21	40	90	74	58	65	12	21	5	78	78	86	69	77	60	78	76	1	2	68	68	60	80	96	72	21	92	45	88	68	25	8	59	66	33	16	31	97	89	35	74	18	73	42	46	32	72	22	32	25	41	51	36	20	47	8	93	38	52	80	5	28	39	63
42	31	78	28	90	0	46	71	31	76	19	19	62	92	88	34	86	33	65	57	6	49	33	46	99	69	18	45	76	10	35	79	89	39	58	79	2	3	1	84	78	20	54	92	63	41	25	48	25	42	56	31	42	89	76	40	9	93	37	84	2	71	62	42	9	71	20	62	74	21	97	3	92	50	94
10	6	95	50	97	46	0	54	42	71	2	67	12	9	97	53	49	72	44	57	17	80	40	70	2	53	12	63	24	83	76	49	55	73	51	46	22	97	100	16	67	53	82	30	13	78	82	62	49	77	18	65	57	10	35	10	62	98	72	37	32	48	37	87	20	40	84	93	36	35	8	54	39	41	83
34	6	34	46	73	71	54	0	52	18	16	13	67	92	82	83	48	91	69	10	5	18	81	93	50	28	30	88	99	69	23	44	56	58	3	9	48	44	91	99	13	58	63	31	49	45	14	49	87	34	58	43	4	38	36	5	18	17	92	68	37	66	63	44	75	18	4	23	61	46	73	25	3	36	56
82	91	93	54	67	31	42	52	0	51	32	21	99	70	54	56	13	57	46	100	61	63	68	4	82	56	22	45	99	96	62	2	70	74	47	43	98	49	78	5	99	61	25	50	30	79	5	42	87	2	41	100	16	60	55	98	15	76	94	13	24	55	14	93	80	12	35	29	60	64	34	11	24	58	60
49	51	54	15	24	76	71	18	51	0	54	88	16	47	75	18	40	74	33	99	28	82	14	56	75	78	79	81	44	71	60	55	58	41	67	21	74	29	97	31	88	2	71	55	48	45	24	87	70	9	38	49	90	51	4	17	80	82	97	23	5	57	78	62	49	96	34	22	24	30	4	63	31	74	17
33	77	42	25	81	19	2	16	32	54	0	31	70	93	69	39	1	6	88	42	8	43	58	88	77	55	62	33	63	39	46	11	86	79	84	9	61	39	71	43	13	40	73	34	32	42	73	84	99	12	25	7	6	35	46	82	41	7	14	3	98	59	65	83	90	100	92	50	38	14	44	2	53	17	36
18	57	45	90	21	19	67	13	21	88	31	0	84	10	8	19	60	71	44	66	76	30	63	10	70	22	23	24	19	34	40	1	23	39	44	24	76	58	67	30	62	35	65	46	96	72	16	56	94	59	73	21	88	36	30	9	57	5	32	27	38	71	79	12	61	23	87	89	32	53	18	93	40	82	90
