100
0	95	78	23	51	55	34	17	78	85	43	49	30	40	1	51	67	62	66	38	8	97	59	86	66	37	72	68	29	69	53	39	15	83	61	17	89	46	34	66	82	28	15	11	19	15	61	86	28	79	75	88	27	33	73	92	21	96	11	50	64	64	40	30	98	52	47	86	49	32	3	30	11	69	93	29	84	5	14	63	35	88	50	61	72	74	52	45	69	15	94	84	78	85	14	27	36	12	64	36
95	0	43	66	17	5	35	61	33	70	66	99	32	100	38	34	13	10	7	16	6	28	30	51	63	59	35	28	85	22	39	48	57	33	14	25	37	100	86	70	69	51	68	52	2	57	85	14	66	44	30	71	71	11	21	85	70	7	13	54	80	51	54	36	36	67	61	72	18	46	93	86	48	12	89	1	69	74	67	86	69	96	9	91	58	81	75	27	88	87	33	67	90	86	55	25	4	67	48	21
78	43	0	64	41	58	63	52	46	63	72	71	29	58	39	76	66	81	34	46	56	60	85	94	44	4	35	29	58	59	32	76	59	52	39	99	9	1	2	7	15	26	77	44	83	68	71	100	48	4	97	55	16	34	49	59	37	83	88	46	94	71	21	52	23	11	2	83	11	3	89	25	80	18	20	62	85	91	13	84	46	10	39	61	43	87	72	79	21	11	76	14	81	96	17	55	6	18	90	68
23	66	64	0	73	30	44	52	47	64	66	83	6	78	19	51	87	57	64	81	95	87	11	15	97	86	81	29	81	97	36	38	15	25	5	87	54	1	90	53	64	55	87	21	33	5	23	19	13	38	52	7	24	62	74	72	48	54	53	28	2	88	18	16	64	74	54	69	74	44	21	89	98	60	9	82	16	32	1	29	69	52	87	45	65	12	16	12	65	68	92	67	55	9	34	70	82	88	39	56
51	17	41	73	0	83	59	96	32	70	5	14	86	88	66	66	8	69	4	52	33	16	68	45	32	87	36	50	94	96	36	63	77	75	1	84	57	12	80	88	81	36	1	18	23	66	35	30	34	91	34	19	58	53	63	89	39	98	91	84	93	26	47	21	100	99	57	8	10	36	47	43	71	48	12	45	65	99	74	51	89	7	69	46	59	83	86	50	80	28	33	24	53	31	96	4	30	52	63	91
55	5	58	30	83	0	87	10	85	9	9	49	53	73	47	79	75	87	37	95	32	48	77	69	49	8	97	81	83	1	12	79	57	93	30	19	35	69	28	20	29	36	68	34	61	14	12	87	52	100	82	83	47	10	3	47	18	51	28	100	52	91	30	60	35	12	78	69	80	58	88	60	45	7	93	57	72	56	44	23	8	77	5	6	86	60	53	55	10	80	55	13	22	84	72	56	47	2	76	78
34	35	63	44	59	87	0	11	64	38	55	22	82	64	94	38	7	16	97	35	73	2	20	32	54	75	93	85	81	6	6	16	29	13	63	82	89	40	92	4	29	99	25	11	62	18	100	20	34	96	54	6	97	25	89	51	51	81	35	31	38	93	99	19	5	61	100	93	52	44	48	81	94	73	91	55	42	42	74	75	37	79	32	85	3	72	35	54	53	22	36	42	14	34	12	70	46	64	15	98
17	61	52	52	96	10	11	0	7	62	78	100	86	20	6	28	13	31	54	49	9	38	33	63	9	20	68	13	93	4	7	58	89	18	27	35	81	93	32	39	7	61	90	92	32	47	71	44	77	25	92	37	14	76	100	22	47	67	87	39	22	93	48	11	10	27	45	43	19	28	33	25	88	75	69	19	21	39	62	98	15	5	86	28	32	85	50	79	4	36	69	25	80	69	87	89	95	83	83	13
78	33	46	47	32	85	64	7	0	10	68	90	97	42	58	15	62	96	28	11	11	84	97	90	16	33	39	46	36	26	14	13	5	34	51	46	28	34	80	93	43	47	34	92	40	91	6	2	38	86	64	100	69	12	90	84	45	80	81	32	6	47	96	62	80	47	59	8	32	39	52	74	85	85	65	25	75	23	78	64	60	93	64	28	5	5	64	1	84	44	32	41	90	28	3	22	26	61	29	57
85	70	63	64	70	9	38	62	10	0	51	80	82	36	16	47	12	42	21	41	5	80	85	20	7	89	24	22	89	60	18	73	100	59	100	54	80	77	15	8	33	17	39	14	4	54	12	15	47	32	7	52	11	92	23	70	32	99	91	73	58	8	45	9	19	96	63	98	72	29	6	56	45	96	21	49	2	33	15	48	64	74	51	27	17	26	96	48	24	38	20	33	98	64	41	16	11	55	13	82
