12
0	6490	5903	8484	14561	18359	15976	19360	18867	10090	10883	9665
6490	0	4523	6256	16661	20618	18083	21561	21099	12639	13461	12236
5903	4523	0	6908	16414	20292	17829	21263	20787	12073	12802	11540
8484	6256	6908	0	17328	21452	18714	22286	21874	14234	15259	14136
14561	16661	16414	17328	0	8425	5658	9194	8797	9603	10440	11237
18359	20618	20292	21452	8425	0	6621	5067	4439	12385	12526	13722
15976	18083	17829	18714	5658	6621	0	7230	6899	10720	11340	12297
19360	21561	21263	22286	9194	5067	7230	0	4300	13531	13730	14912
18867	21099	20787	21874	8797	4439	6899	4300	0	12967	13130	14319
10090	12639	12073	14234	9603	12385	10720	13531	12967	0	4888	5076
10883	13461	12802	15259	10440	12526	11340	13730	13130	4888	0	4478
9665	12236	11540	14136	11237	13722	12297	14912	14319	5076	4478	0
0	7	8	4	2	1	2	1	1	3	3	3
0	0	25	7	1	1	1	1	1	2	2	2
0	0	0	6	1	1	1	1	1	2	2	2
0	0	0	0	1	1	1	1	1	2	2	2
0	0	0	0	0	4	11	4	4	3	3	2
0	0	0	0	0	0	6	15	29	2	2	2
0	0	0	0	0	0	0	5	6	3	2	2
0	0	0	0	0	0	0	0	33	2	2	2
0	0	0	0	0	0	0	0	0	2	2	2
0	0	0	0	0	0	0	0	0	0	11	10
0	0	0	0	0	0	0	0	0	0	0	14
0	0	0	0	0	0	0	0	0	0	0	0
