10
0	6	21	93	99	31	32	26	62	89
6	0	48	59	21	1	89	51	10	23
21	48	0	25	33	39	86	27	58	34
93	59	25	0	11	98	60	75	91	51
99	21	33	11	0	18	39	90	49	20
31	1	39	98	18	0	57	55	70	94
32	89	86	60	39	57	0	80	24	57
26	51	27	75	90	55	80	0	45	80
62	10	58	91	49	70	24	45	0	26
89	23	34	51	20	94	57	80	26	0
0	18	0	0	0	0	41	5	5	0
0	0	0	0	0	0	0	0	0	0
0	0	0	29	45	27	99	43	67	58
0	0	0	0	0	0	76	27	41	0
0	0	0	0	0	0	2	12	3	0
0	0	0	0	0	0	56	66	18	0
0	0	0	0	0	0	0	85	55	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
