40
0	58	18	34	6	17	10	79	12	40	76	92	77	17	47	34	38	21	28	96	32	20	29	86	47	53	25	60	46	3	13	4	45	100	94	60	18	12	8	73
58	0	82	83	26	65	48	92	88	59	6	100	93	79	9	6	98	12	64	64	36	14	94	42	9	26	20	11	61	99	49	58	58	73	17	99	34	100	41	5
18	82	0	3	17	24	76	56	67	21	98	29	79	42	38	92	56	24	79	94	45	95	75	85	41	50	88	86	78	60	18	80	4	45	43	93	61	1	29	78
34	83	3	0	65	72	64	46	94	28	37	19	24	13	61	69	45	24	79	31	73	87	82	32	65	21	39	22	100	2	66	46	47	100	45	92	45	23	30	49
6	26	17	65	0	56	89	52	16	19	56	42	80	10	36	23	5	91	99	37	64	49	64	60	5	7	15	75	97	42	22	46	77	8	5	78	16	97	94	41
17	65	24	72	56	0	39	45	18	89	39	64	90	86	61	35	90	65	73	5	19	67	87	80	90	49	10	70	60	24	91	23	9	35	60	79	46	12	4	34
10	48	76	64	89	39	0	10	47	77	45	44	98	100	52	88	34	48	20	53	24	94	75	84	55	100	4	24	66	93	86	21	64	10	65	67	100	28	26	79
79	92	56	46	52	45	10	0	49	69	6	28	21	17	36	72	96	33	34	85	22	22	100	46	40	92	13	58	17	4	75	29	20	81	74	87	13	64	15	95
12	88	67	94	16	18	47	49	0	79	48	6	81	97	43	30	68	87	33	15	13	63	9	29	85	15	83	53	29	10	73	90	86	76	50	23	78	59	90	21
40	59	21	28	19	89	77	69	79	0	11	53	78	94	10	88	62	90	29	35	41	73	55	11	78	74	49	54	59	98	78	46	98	95	28	4	30	11	62	16
76	6	98	37	56	39	45	6	48	11	0	63	15	46	77	65	60	90	39	34	64	67	34	28	61	72	69	60	76	74	70	96	42	84	53	74	23	2	5	94
92	100	29	19	42	64	44	28	6	53	63	0	94	37	76	93	35	88	55	89	23	75	57	90	72	33	100	22	37	66	4	49	58	3	30	89	10	2	39	99
77	93	79	24	80	90	98	21	81	78	15	94	0	29	82	39	73	18	62	100	12	21	51	6	15	20	71	62	38	28	81	71	26	12	4	90	93	58	80	82
17	79	42	13	10	86	100	17	97	94	46	37	29	0	17	93	45	17	30	98	82	39	19	57	38	79	13	74	72	22	15	68	37	78	28	89	8	95	51	94
47	9	38	61	36	61	52	36	43	10	77	76	82	17	0	22	80	45	29	2	80	71	18	84	82	52	38	92	54	5	56	60	67	48	90	24	36	46	72	66
34	6	92	69	23	35	88	72	30	88	65	93	39	93	22	0	58	64	83	16	73	47	48	13	77	11	58	20	14	90	10	76	70	79	38	8	74	62	67	12
38	98	56	45	5	90	34	96	68	62	60	35	73	45	80	58	0	26	61	93	24	23	18	39	97	39	68	78	73	24	5	35	49	97	67	21	81	31	2	73
21	12	24	24	91	65	48	33	87	90	90	88	18	17	45	64	26	0	79	94	16	52	91	58	49	59	6	29	71	8	12	39	81	47	70	19	85	84	2	47
28	64	79	79	99	73	20	34	33	29	39	55	62	30	29	83	61	79	0	100	63	85	75	59	96	14	45	68	16	78	48	2	79	78	79	87	89	56	32	5
96	64	94	31	37	5	53	85	15	35	34	89	100	98	2	16	93	94	100	0	38	97	46	64	62	70	11	93	4	42	63	63	74	87	42	38	92	72	54	13
32	36	45	73	64	19	24	22	13	41	64	23	12	82	80	73	24	16	63	38	0	21	11	10	4	16	62	98	8	2	100	63	15	9	33	47	15	26	7	59
20	14	95	87	49	67	94	22	63	73	67	75	21	39	71	47	23	52	85	97	21	0	20	28	87	20	54	92	4	7	69	34	91	37	30	71	8	46	82	76
29	94	75	82	64	87	75	100	9	55	34	57	51	19	18	48	18	91	75	46	11	20	0	26	89	5	95	45	25	35	100	6	93	47	3	63	80	72	67	68
86	42	85	32	60	80	84	46	29	11	28	90	6	57	84	13	39	58	59	64	10	28	26	0	40	22	7	8	93	75	51	46	78	85	23	15	80	5	16	34
47	9	41	65	5	90	55	40	85	78	61	72	15	38	82	77	97	49	96	62	4	87	89	40	0	31	32	55	78	91	54	83	91	61	7	90	88	5	25	54
