10
0	69	70	87	72	9	92	14	36	54
69	0	5	88	59	33	96	28	23	74
70	5	0	86	47	52	100	29	22	16
87	88	86	0	87	32	52	84	45	81
72	59	47	87	0	98	34	60	32	74
9	33	52	32	98	0	72	97	34	100
92	96	100	52	34	72	0	13	94	15
14	28	29	84	60	97	13	0	98	6
36	23	22	45	32	34	94	98	0	56
54	74	16	81	74	100	15	6	56	0
0	37	35	0	36	40	27	45	7	82
0	0	65	0	0	0	0	98	35	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	13	37	87	34	31	15
0	0	0	0	0	0	18	99	4	0
0	0	0	0	0	0	22	89	6	24
0	0	0	0	0	0	0	41	18	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
