10
0	60	74	67	58	29	37	94	29	95
60	0	82	24	28	26	67	94	69	46
74	82	0	44	24	65	27	75	86	61
67	24	44	0	41	70	32	35	94	51
58	28	24	41	0	88	33	24	54	88
29	26	65	70	88	0	31	83	91	51
37	67	27	32	33	31	0	61	48	50
94	94	75	35	24	83	61	0	95	46
29	69	86	94	54	91	48	95	0	22
95	46	61	51	88	51	50	46	22	0
0	5	0	0	0	0	0	0	79	60
0	0	0	0	0	0	0	0	54	90
0	0	0	72	0	0	0	48	15	25
0	0	0	0	0	0	0	83	24	72
0	0	0	0	0	0	0	42	86	6
0	0	0	0	0	0	0	51	26	48
0	0	0	0	0	0	0	17	57	27
0	0	0	0	0	0	0	0	52	69
0	0	0	0	0	0	0	0	0	94
0	0	0	0	0	0	0	0	0	0
