50
0	43	28	12	18	14	50	17	11	1	20	79	31	70	56	87	67	24	90	22	16	46	82	91	68	31	87	41	8	88	4	33	4	49	70	55	47	4	4	49	57	74	45	93	6	39	88	20	41	85
43	0	20	99	4	97	98	25	79	77	79	8	55	19	41	61	100	19	88	50	8	88	11	100	59	37	89	9	12	5	49	10	99	46	1	26	97	32	29	52	64	79	78	85	73	6	82	74	92	64
28	20	0	28	87	9	68	69	25	63	13	20	47	86	9	80	100	83	83	87	7	96	43	61	49	78	27	93	6	13	86	25	21	81	36	98	67	5	75	50	45	32	52	79	10	58	88	33	13	11
12	99	28	0	31	52	21	29	57	59	89	56	54	41	45	16	89	17	23	14	94	66	26	34	4	18	38	60	19	80	66	48	9	48	57	36	61	28	19	91	87	26	51	80	79	8	93	75	87	38
18	4	87	31	0	15	12	78	18	69	12	5	100	63	76	46	30	61	33	30	35	96	72	55	89	80	70	38	87	48	28	63	32	20	65	66	79	65	25	56	13	74	34	30	72	88	8	44	14	12
14	97	9	52	15	0	36	13	42	86	30	42	11	82	99	89	70	27	91	9	50	33	56	6	36	46	17	58	33	34	11	59	89	61	32	27	57	35	6	23	61	52	95	62	32	78	34	90	100	73
50	98	68	21	12	36	0	43	56	43	45	76	80	66	2	98	35	24	68	88	78	36	78	35	62	87	7	17	26	23	45	66	24	37	81	66	52	51	53	42	61	83	81	62	97	58	56	79	96	93
17	25	69	29	78	13	43	0	33	51	62	33	6	3	55	32	11	88	79	76	1	12	80	89	51	67	83	3	53	87	22	3	48	29	72	41	40	14	11	17	23	23	9	44	93	99	45	11	53	91
11	79	25	57	18	42	56	33	0	13	67	13	22	30	6	77	32	70	89	17	57	43	60	86	93	98	24	52	3	42	44	70	75	25	40	71	74	82	46	75	98	24	89	80	60	28	90	16	42	81
1	77	63	59	69	86	43	51	13	0	2	15	68	47	34	68	51	15	18	61	86	45	33	51	30	71	75	46	1	68	19	15	78	68	71	43	45	52	43	11	95	5	15	24	69	91	59	41	50	32
