40
0	94	15	96	77	18	71	22	97	1	69	91	26	48	66	22	68	34	15	76	97	15	64	80	28	25	40	40	83	72	67	95	32	19	1	33	87	96	39	88
94	0	12	80	21	90	5	74	75	3	13	82	93	24	69	51	10	36	30	34	87	10	26	29	33	100	50	34	45	29	78	99	81	3	45	48	68	36	85	9
15	12	0	90	77	55	39	24	57	32	96	17	79	28	98	6	70	91	33	98	95	8	28	62	97	40	89	78	66	78	63	83	56	94	23	85	64	44	95	81
96	80	90	0	74	47	52	13	39	65	46	91	6	62	8	64	90	84	11	34	16	64	75	62	97	46	64	78	85	32	32	61	1	81	12	25	64	6	58	84
77	21	77	74	0	89	79	28	37	33	42	20	14	86	60	75	32	71	93	48	6	27	75	42	30	60	71	30	46	34	1	70	80	17	81	13	44	6	3	54
18	90	55	47	89	0	21	38	44	9	29	5	23	16	69	16	74	87	81	1	97	52	16	87	6	87	29	23	60	74	92	88	12	53	62	82	87	2	19	72
71	5	39	52	79	21	0	34	34	66	74	2	30	18	27	65	55	45	12	69	24	30	45	46	100	100	74	3	78	31	63	1	69	55	99	33	90	96	99	71
22	74	24	13	28	38	34	0	56	99	72	7	39	68	20	79	93	22	88	11	67	5	90	35	57	64	87	39	31	46	91	70	23	23	98	20	70	30	64	41
97	75	57	39	37	44	34	56	0	68	47	43	77	55	37	27	90	64	58	66	18	59	2	68	65	63	58	32	10	40	2	26	22	79	93	52	10	77	63	3
1	3	32	65	33	9	66	99	68	0	53	11	47	25	80	17	11	57	51	2	55	11	48	87	3	7	41	93	11	13	39	88	44	76	63	55	22	46	53	79
69	13	96	46	42	29	74	72	47	53	0	60	21	87	58	95	28	36	69	23	15	91	4	9	58	96	96	68	92	17	38	47	93	99	54	95	37	15	33	55
91	82	17	91	20	5	2	7	43	11	60	0	85	87	90	15	66	25	46	21	18	26	80	93	29	73	95	15	91	25	94	3	8	6	69	10	54	71	94	93
26	93	79	6	14	23	30	39	77	47	21	85	0	17	62	48	94	82	78	69	80	70	28	68	14	23	100	61	58	78	90	72	15	53	31	81	13	46	18	82
