20
0	52	98	93	71	19	9	84	67	99	81	74	98	72	41	24	32	29	86	73
52	0	2	20	4	66	46	4	18	50	52	1	28	95	79	71	76	71	43	17
98	2	0	36	11	80	9	22	44	96	8	26	86	26	70	38	14	8	42	21
93	20	36	0	52	25	81	4	13	7	35	31	32	93	28	69	100	43	39	87
71	4	11	52	0	14	9	59	68	15	99	81	43	1	61	76	71	83	7	88
19	66	80	25	14	0	4	94	78	26	7	92	95	5	33	49	25	7	60	70
9	46	9	81	9	4	0	76	98	24	64	67	88	81	49	76	50	9	98	49
84	4	22	4	59	94	76	0	1	75	28	67	25	82	97	60	28	79	24	26
67	18	44	13	68	78	98	1	0	24	87	100	80	87	20	77	72	74	72	3
99	50	96	7	15	26	24	75	24	0	84	40	20	74	69	69	50	19	26	57
81	52	8	35	99	7	64	28	87	84	0	35	91	28	84	37	19	68	33	8
74	1	26	31	81	92	67	67	100	40	35	0	70	75	29	72	10	64	6	76
98	28	86	32	43	95	88	25	80	20	91	70	0	91	74	30	61	52	90	19
72	95	26	93	1	5	81	82	87	74	28	75	91	0	84	13	4	61	57	52
41	79	70	28	61	33	49	97	20	69	84	29	74	84	0	50	40	82	11	22
24	71	38	69	76	49	76	60	77	69	37	72	30	13	50	0	97	96	89	45
32	76	14	100	71	25	50	28	72	50	19	10	61	4	40	97	0	59	45	35
29	71	8	43	83	7	9	79	74	19	68	64	52	61	82	96	59	0	39	56
86	43	42	39	7	60	98	24	72	26	33	6	90	57	11	89	45	39	0	57
73	17	21	87	88	70	49	26	3	57	8	76	19	52	22	45	35	56	57	0
0	0	75	0	0	11	0	0	26	0	0	0	3	0	77	69	0	93	0	0
0	0	67	0	0	56	30	45	96	0	4	0	89	79	35	93	0	1	12	26
0	0	0	0	0	39	0	0	69	0	0	0	0	0	0	27	0	0	0	0
0	0	0	0	0	26	5	34	76	15	58	30	5	57	46	92	31	75	17	48
0	0	0	0	0	27	56	61	8	45	22	84	68	94	13	25	53	26	46	49
0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	34	21	0	0	60	58	40	48	0	88	97	68
0	0	0	0	0	0	0	0	80	31	0	0	17	61	35	54	0	90	61	57
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	92	0	30	39	0	4	0	56
0	0	0	0	0	0	0	0	0	0	0	0	41	42	69	63	0	44	59	87
0	0	0	0	0	0	0	0	0	0	0	0	35	12	80	52	0	70	68	50
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	32	0	34	28	98
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	88	78
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
